,count
0,985
1,801
2,1349
3,1562
4,1600
5,1606
6,1510
7,959
8,822
9,1321
10,1263
11,1162
12,1406
13,1421
14,1248
15,1204
16,1000
17,683
18,1650
19,1927
20,1543
21,981
22,986
23,1416
24,1985
25,506
26,431
27,1167
28,1098
29,1096
30,1501
31,1360
32,1526
33,1550
34,1708
35,1005
36,1623
37,1712
38,1530
39,1605
40,1538
41,1746
42,1472
43,1589
44,1815
45,2115
46,2475
47,2927
48,1635
49,1812
50,1107
51,1450
52,1917
53,1807
54,1461
55,1969
56,2402
57,1446
58,1851
59,2134
60,1685
61,1944
62,2077
63,605
64,1872
65,2133
66,1891
67,623
68,1977
69,2132
70,2417
71,2046
72,2056
73,2192
74,2744
75,3239
76,3117
77,2471
78,2077
79,2703
80,2121
81,1865
82,2210
83,2496
84,1693
85,2028
86,2425
87,1536
88,1685
89,2227
90,2252
91,3249
92,3115
93,1795
94,2808
95,3141
96,1471
97,2455
98,2895
99,3348
100,2034
101,2162
102,3267
103,3126
104,795
105,3744
106,3429
107,3204
108,3944
109,4189
110,1683
111,4036
112,4191
113,4073
114,4400
115,3872
116,4058
117,4595
118,5312
119,3351
120,4401
121,4451
122,2633
123,4433
124,4608
125,4714
126,4333
127,4362
128,4803
129,4182
130,4864
131,4105
132,3409
133,4553
134,3958
135,4123
136,3855
137,4575
138,4917
139,5805
140,4660
141,4274
142,4492
143,4978
144,4677
145,4679
146,4758
147,4788
148,4098
149,3982
150,3974
151,4968
152,5312
153,5342
154,4906
155,4548
156,4833
157,4401
158,3915
159,4586
160,4966
161,4460
162,5020
163,4891
164,5180
165,3767
166,4844
167,5119
168,4744
169,4010
170,4835
171,4507
172,4790
173,4991
174,5202
175,5305
176,4708
177,4648
178,5225
179,5515
180,5362
181,5119
182,4649
183,6043
184,4665
185,4629
186,4592
187,4040
188,5336
189,4881
190,4086
191,4258
192,4342
193,5084
194,5538
195,5923
196,5302
197,4458
198,4541
199,4332
200,3784
201,3387
202,3285
203,3606
204,3840
205,4590
206,4656
207,4390
208,3846
209,4475
210,4302
211,4266
212,4845
213,3574
214,4576
215,4866
216,4294
217,3785
218,4326
219,4602
220,4780
221,4792
222,4905
223,4150
224,3820
225,4338
226,4725
227,4694
228,3805
229,4153
230,5191
231,3873
232,4758
233,5895
234,5130
235,3542
236,4661
237,1115
238,4334
239,4634
240,5204
241,5058
242,5115
243,4727
244,4484
245,4940
246,3351
247,2710
248,1996
249,1842
250,3544
251,5345
252,5046
253,4713
254,4763
255,4785
256,3659
257,4760
258,4511
259,4274
260,4539
261,3641
262,4352
263,4795
264,2395
265,5423
266,5010
267,4630
268,4120
269,3907
270,4839
271,5202
272,2429
273,2918
274,3570
275,4456
276,4826
277,4765
278,4985
279,5409
280,5511
281,5117
282,4563
283,2416
284,2913
285,3644
286,5217
287,5041
288,4570
289,2424
290,4195
291,4304
292,4308
293,4381
294,4187
295,4687
296,3894
297,2659
298,3747
299,627
300,3331
301,3669
302,4068
303,4186
304,3974
305,4046
306,3926
307,3649
308,4035
309,4205
310,4109
311,2933
312,3368
313,4067
314,3717
315,4486
316,4195
317,1817
318,3053
319,3392
320,3663
321,3520
322,2765
323,1607
324,2566
325,1495
326,2792
327,3068
328,3071
329,3867
330,2914
331,3613
332,3727
333,3940
334,3614
335,3485
336,3811
337,2594
338,705
339,3322
340,3620
341,3190
342,2743
343,3310
344,3523
345,3740
346,3709
347,3577
348,2739
349,2431
350,3403
351,3750
352,2660
353,3068
354,2209
355,1011
356,754
357,1317
358,1162
359,2302
360,2423
361,2999
362,2485
363,2294
364,1951
365,2236
366,2368
367,3272
368,4098
369,4521
370,3425
371,2376
372,3598
373,2177
374,4097
375,3214
376,2493
377,2311
378,2935
379,3376
380,3292
381,3163
382,1301
383,1977
384,2432
385,4339
386,4270
387,4075
388,3456
389,4023
390,3243
391,3624
392,4509
393,4579
394,3761
395,4151
396,2832
397,2947
398,3784
399,4375
400,2802
401,3830
402,2169
403,1529
404,3422
405,3922
406,4169
407,3005
408,4154
409,4318
410,2689
411,3129
412,3777
413,4773
414,3487
415,2732
416,3389
417,4322
418,4363
419,1834
420,4990
421,3194
422,4066
423,3423
424,3333
425,5382
426,4569
427,4118
428,4911
429,5298
430,5847
431,6312
432,6192
433,4378
434,7836
435,5892
436,6153
437,6093
438,6230
439,6871
440,8362
441,3372
442,4996
443,5558
444,5102
445,5698
446,6133
447,5459
448,6235
449,6041
450,5936
451,6772
452,6436
453,6457
454,6460
455,6857
456,5169
457,5585
458,5918
459,4862
460,5409
461,6398
462,7460
463,7132
464,6370
465,6691
466,4367
467,6565
468,7290
469,6624
470,1027
471,3214
472,5633
473,6196
474,5026
475,6233
476,4220
477,6304
478,5572
479,5740
480,6169
481,6421
482,6296
483,6883
484,6359
485,6273
486,5728
487,4717
488,6572
489,7030
490,7429
491,6118
492,2843
493,5115
494,7424
495,7384
496,7639
497,8294
498,7129
499,4359
500,6073
501,5260
502,6770
503,6734
504,6536
505,6591
506,6043
507,5743
508,6855
509,7338
510,4127
511,8120
512,7641
513,6998
514,7001
515,7055
516,7494
517,7736
518,7498
519,6598
520,6664
521,4972
522,7421
523,7363
524,7665
525,7702
526,6978
527,5099
528,6825
529,6211
530,5905
531,5823
532,7458
533,6891
534,6779
535,7442
536,7335
537,6879
538,5463
539,5687
540,5531
541,6227
542,6660
543,7403
544,6241
545,6207
546,4840
547,4672
548,6569
549,6290
550,7264
551,7446
552,7499
553,6969
554,6031
555,6830
556,6786
557,5713
558,6591
559,5870
560,4459
561,7410
562,6966
563,7592
564,8173
565,6861
566,6904
567,6685
568,6597
569,7105
570,7216
571,7580
572,7261
573,7175
574,6824
575,5464
576,7013
577,7273
578,7534
579,7286
580,5786
581,6299
582,6544
583,6883
584,6784
585,7347
586,7605
587,7148
588,7865
589,4549
590,6530
591,7006
592,7375
593,7765
594,7582
595,6053
596,5255
597,6917
598,7040
599,7697
600,7713
601,7350
602,6140
603,5810
604,6034
605,6864
606,7112
607,6203
608,7504
609,5976
610,8227
611,7525
612,7767
