,season,year,month,holiday,weekday,weather,temperature,humidity,windspeed
0,1,0,1,0,6,2,0.344167,0.805833,0.160446
1,1,0,1,0,0,2,0.363478,0.696087,0.248539
2,1,0,1,0,1,1,0.196364,0.437273,0.248309
3,1,0,1,0,2,1,0.2,0.590435,0.160296
4,1,0,1,0,3,1,0.226957,0.436957,0.1869
5,1,0,1,0,4,1,0.204348,0.518261,0.0895652
6,1,0,1,0,5,2,0.196522,0.498696,0.168726
7,1,0,1,0,6,2,0.165,0.535833,0.266804
8,1,0,1,0,0,1,0.138333,0.434167,0.36195
9,1,0,1,0,1,1,0.150833,0.482917,0.223267
10,1,0,1,0,2,2,0.169091,0.686364,0.122132
11,1,0,1,0,3,1,0.172727,0.599545,0.304627
12,1,0,1,0,4,1,0.165,0.470417,0.301
13,1,0,1,0,5,1,0.16087,0.537826,0.126548
14,1,0,1,0,6,2,0.233333,0.49875,0.157963
15,1,0,1,0,0,1,0.231667,0.48375,0.188433
16,1,0,1,1,1,2,0.175833,0.5375,0.194017
17,1,0,1,0,2,2,0.216667,0.861667,0.146775
18,1,0,1,0,3,2,0.292174,0.741739,0.208317
19,1,0,1,0,4,2,0.261667,0.538333,0.195904
20,1,0,1,0,5,1,0.1775,0.457083,0.353242
21,1,0,1,0,6,1,0.0591304,0.4,0.17197
22,1,0,1,0,0,1,0.0965217,0.436522,0.2466
23,1,0,1,0,1,1,0.0973913,0.491739,0.15833
24,1,0,1,0,2,2,0.223478,0.616957,0.129796
25,1,0,1,0,3,3,0.2175,0.8625,0.29385
26,1,0,1,0,4,1,0.195,0.6875,0.113837
27,1,0,1,0,5,2,0.203478,0.793043,0.1233
28,1,0,1,0,6,1,0.196522,0.651739,0.145365
29,1,0,1,0,0,1,0.216522,0.722174,0.0739826
30,1,0,1,0,1,2,0.180833,0.60375,0.187192
31,1,0,2,0,2,2,0.192174,0.829565,0.053213
32,1,0,2,0,3,2,0.26,0.775417,0.264308
33,1,0,2,0,4,1,0.186957,0.437826,0.277752
34,1,0,2,0,5,2,0.211304,0.585217,0.127839
35,1,0,2,0,6,2,0.233333,0.929167,0.161079
36,1,0,2,0,0,1,0.285833,0.568333,0.1418
37,1,0,2,0,1,1,0.271667,0.738333,0.0454083
38,1,0,2,0,2,1,0.220833,0.537917,0.36195
39,1,0,2,0,3,2,0.134783,0.494783,0.188839
40,1,0,2,0,4,1,0.144348,0.437391,0.221935
41,1,0,2,0,5,1,0.189091,0.506364,0.10855
42,1,0,2,0,6,1,0.2225,0.544167,0.203367
43,1,0,2,0,0,1,0.316522,0.457391,0.260883
44,1,0,2,0,2,1,0.266087,0.314348,0.291374
45,1,0,2,0,3,1,0.318261,0.423478,0.251791
46,1,0,2,0,4,1,0.435833,0.505,0.230104
47,1,0,2,0,5,1,0.521667,0.516667,0.264925
48,1,0,2,0,6,1,0.399167,0.187917,0.507463
49,1,0,2,0,0,1,0.285217,0.407826,0.223235
50,1,0,2,1,1,2,0.303333,0.605,0.307846
51,1,0,2,0,2,1,0.182222,0.577778,0.195683
52,1,0,2,0,3,1,0.221739,0.423043,0.094113
53,1,0,2,0,4,2,0.295652,0.697391,0.250496
54,1,0,2,0,5,2,0.364348,0.712174,0.346539
55,1,0,2,0,6,1,0.2825,0.537917,0.186571
56,1,0,2,0,0,1,0.343478,0.68,0.125248
57,1,0,2,0,1,2,0.407273,0.876364,0.289686
58,1,0,3,0,2,1,0.266667,0.535,0.216425
59,1,0,3,0,3,1,0.335,0.449583,0.307833
60,1,0,3,0,4,1,0.198333,0.318333,0.225754
