,index,season,year,month,holiday,weekday,weather,temperature,humidity,windspeed,casualuser,registereduser,count
0,0,1,0,1,0,6,2,0.344167,0.805833,0.160446,331,654,985
1,1,1,0,1,0,0,2,0.363478,0.696087,0.248539,131,670,801
2,2,1,0,1,0,1,1,0.196364,0.437273,0.248309,120,1229,1349
3,3,1,0,1,0,2,1,0.2,0.590435,0.160296,108,1454,1562
4,4,1,0,1,0,3,1,0.226957,0.436957,0.1869,82,1518,1600
5,5,1,0,1,0,4,1,0.204348,0.518261,0.0895652,88,1518,1606
6,6,1,0,1,0,5,2,0.196522,0.498696,0.168726,148,1362,1510
7,7,1,0,1,0,6,2,0.165,0.535833,0.266804,68,891,959
8,8,1,0,1,0,0,1,0.138333,0.434167,0.36195,54,768,822
9,9,1,0,1,0,1,1,0.150833,0.482917,0.223267,41,1280,1321
10,10,1,0,1,0,2,2,0.169091,0.686364,0.122132,43,1220,1263
11,11,1,0,1,0,3,1,0.172727,0.599545,0.304627,25,1137,1162
12,12,1,0,1,0,4,1,0.165,0.470417,0.301,38,1368,1406
13,13,1,0,1,0,5,1,0.16087,0.537826,0.126548,54,1367,1421
14,14,1,0,1,0,6,2,0.233333,0.49875,0.157963,222,1026,1248
15,15,1,0,1,0,0,1,0.231667,0.48375,0.188433,251,953,1204
16,16,1,0,1,1,1,2,0.175833,0.5375,0.194017,117,883,1000
17,17,1,0,1,0,2,2,0.216667,0.861667,0.146775,9,674,683
18,18,1,0,1,0,3,2,0.292174,0.741739,0.208317,78,1572,1650
19,19,1,0,1,0,4,2,0.261667,0.538333,0.195904,83,1844,1927
20,20,1,0,1,0,5,1,0.1775,0.457083,0.353242,75,1468,1543
21,21,1,0,1,0,6,1,0.0591304,0.4,0.17197,93,888,981
22,22,1,0,1,0,0,1,0.0965217,0.436522,0.2466,150,836,986
23,23,1,0,1,0,1,1,0.0973913,0.491739,0.15833,86,1330,1416
24,24,1,0,1,0,2,2,0.223478,0.616957,0.129796,186,1799,1985
25,25,1,0,1,0,3,3,0.2175,0.8625,0.29385,34,472,506
26,26,1,0,1,0,4,1,0.195,0.6875,0.113837,15,416,431
27,27,1,0,1,0,5,2,0.203478,0.793043,0.1233,38,1129,1167
28,28,1,0,1,0,6,1,0.196522,0.651739,0.145365,123,975,1098
29,29,1,0,1,0,0,1,0.216522,0.722174,0.0739826,140,956,1096
30,30,1,0,1,0,1,2,0.180833,0.60375,0.187192,42,1459,1501
31,31,1,0,2,0,2,2,0.192174,0.829565,0.053213,47,1313,1360
32,32,1,0,2,0,3,2,0.26,0.775417,0.264308,72,1454,1526
33,33,1,0,2,0,4,1,0.186957,0.437826,0.277752,61,1489,1550
34,34,1,0,2,0,5,2,0.211304,0.585217,0.127839,88,1620,1708
35,35,1,0,2,0,6,2,0.233333,0.929167,0.161079,100,905,1005
