,count
380,3292
490,7429
196,5302
240,5204
17,683
683,5146
231,3873
210,4302
532,7458
502,6770
665,5138
492,2843
247,2710
549,6290
45,2115
299,627
62,2077
501,5260
279,5409
519,6598
140,4660
496,7639
514,7001
127,4362
202,3285
443,5558
352,2660
144,4677
21,981
504,6536
662,5566
35,1005
432,6192
229,4153
499,4359
77,2471
493,5115
643,7282
109,4189
715,920
101,2162
293,4381
306,3926
545,6207
243,4727
494,7424
460,5409
312,3368
481,6421
713,1749
635,7328
524,7665
165,3767
356,754
392,4509
34,1708
526,6978
303,4186
719,3095
319,3392
698,5375
714,1787
155,4548
331,3613
686,2277
301,3669
200,3784
261,3641
518,7498
12,1406
161,4460
666,5107
268,4120
465,6691
272,2429
159,4586
489,7030
402,2169
78,2077
92,3115
500,6073
66,1891
235,3542
720,1341
427,4118
467,6565
661,1096
285,3644
672,6536
557,5713
642,7570
15,1204
533,6891
271,5202
6,1510
623,8395
71,2046
413,4773
428,4911
330,2914
317,1817
104,795
652,6824
188,5336
476,4220
628,7393
403,1529
230,5191
395,4151
90,2252
622,8167
409,4318
369,4521
401,3830
218,4326
535,7442
278,4985
205,4590
358,1162
190,4086
452,6436
350,3403
194,5538
457,5585
132,3409
233,5895
173,4991
178,5225
699,5008
547,4672
206,4656
96,1471
620,7591
310,4109
404,3422
89,2227
374,4097
179,5515
0,985
46,2475
171,4507
576,7013
462,7460
107,3204
133,4553
615,8009
223,4150
416,3389
102,3267
108,3944
213,3574
447,5459
302,4068
246,3351
436,6153
386,4270
125,4714
415,2732
520,6664
417,4322
584,6784
224,3820
26,431
422,4066
508,6855
484,6359
3,1562
134,3958
333,3940
186,4592
585,7347
295,4687
604,6034
536,7335
570,7216
650,5424
225,4338
591,7006
391,3624
483,6883
482,6296
690,5260
473,6196
470,1027
399,4375
688,5087
112,4191
426,4569
506,6043
20,1543
65,2133
298,3747
126,4333
259,4274
701,3228
364,1951
339,3322
605,6864
137,4575
458,5918
7,959
342,2743
663,5986
309,4205
498,7129
185,4629
668,5686
153,5342
54,1461
30,1501
390,3243
644,7109
100,2034
407,3005
619,4073
685,3910
237,1115
56,2402
60,1685
478,5572
262,4352
400,2802
264,2395
673,6852
419,1834
208,3846
434,7836
586,7605
167,5119
38,1530
389,4023
590,6530
300,3331
463,7132
453,6457
613,7870
163,4891
124,4608
154,4906
336,3811
59,2134
451,6772
304,3974
702,5170
567,6685
343,3310
694,4649
311,2933
468,7290
158,3915
51,1450
521,4972
718,2114
712,3623
361,2999
418,4363
517,7736
219,4602
308,4035
74,2744
282,4563
471,3214
4,1600
580,5786
558,6591
571,7580
637,7965
5,1606
141,4274
529,6211
135,4123
566,6904
378,2935
647,7534
22,986
653,7058
276,4826
284,2913
270,4839
691,5323
281,5117
420,4990
220,4780
654,7466
320,3663
569,7105
120,4401
81,1865
709,5557
13,1421
439,6871
700,5582
693,5191
160,4966
708,3786
238,4334
379,3376
466,4367
509,7338
440,8362
516,7494
541,6227
195,5923
191,4258
116,4058
706,5611
592,7375
164,5180
106,3429
16,1000
63,605
384,2432
669,5035
105,3744
513,6998
680,4669
329,3867
345,3740
631,6889
405,3922
538,5463
93,1795
534,6779
433,4378
83,2496
634,7572
348,2739
561,7410
455,6857
198,4541
145,4679
414,3487
150,3974
522,7421
39,1605
530,5905
578,7534
660,22
556,6786
322,2765
253,4713
646,5875
527,5099
710,5267
357,1317
69,2132
2,1349
340,3620
221,4792
674,6269
146,4758
289,2424
241,5058
29,1096
595,6053
114,4400
511,8120
717,441
582,6544
621,7720
176,4708
636,8156
372,3598
168,4744
347,3577
376,2493
548,6569
632,6778
671,5992
601,7350
189,4881
136,3855
446,6133
607,6203
254,4763
651,8090
290,4195
682,5634
612,7767
232,4758
33,1550
88,1685
44,1815
341,3190
61,1944
692,5668
199,4332
429,5298
394,3761
297,2659
73,2192
393,4579
618,6869
602,6140
608,7504
217,3785
539,5687
597,6917
421,3194
138,4917
212,4845
609,5976
638,3510
664,5847
234,5130
67,623
24,1985
381,3163
216,4294
129,4182
349,2431
111,4036
166,4844
207,4390
438,6230
552,7499
274,3570
614,7804
577,7273
525,7702
287,5041
469,6624
326,2792
121,4451
507,5743
228,3805
445,5698
117,4595
464,6370
25,506
110,1683
149,3982
152,5312
528,6825
461,6398
139,5805
260,4539
323,1607
649,7509
248,1996
450,5936
410,2689
19,1927
328,3071
296,3894
269,3907
226,4725
94,2808
515,7055
280,5511
286,5217
589,4549
722,2729
444,5102
184,4665
371,2376
656,7359
704,5319
275,4456
678,5698
182,4649
32,1526
80,2121
307,3649
11,1162
43,1589
86,2425
36,1623
58,1851
41,1746
411,3129
562,6966
209,4475
148,4098
594,7582
123,4433
574,6824
98,2895
377,2311
130,4864
23,1416
630,8555
555,6830
370,3425
512,7641
383,1977
201,3387
368,4098
554,6031
610,8227
387,4075
292,4308
256,3659
606,7112
197,4458
95,3141
697,5729
169,4010
581,6299
305,4046
560,4459
373,2177
227,4694
143,4978
180,5362
131,4105
689,3959
47,2927
324,2566
203,3606
84,1693
633,4639
565,6861
611,7525
398,3784
91,3249
82,2210
430,5847
119,3351
291,4304
57,1446
321,3520
257,4760
687,2424
442,4996
42,1472
617,7333
388,3456
335,3485
273,2918
488,6572
550,7264
53,1807
679,5629
128,4803
28,1098
183,6043
459,4862
510,4127
675,4094
151,4968
244,4484
543,7403
544,6241
639,5478
265,5423
288,4570
423,3423
147,4788
659,4459
177,4648
99,3348
448,6235
431,6312
115,3872
72,2056
537,6879
677,5445
711,4128
174,5202
87,1536
551,7446
486,5728
705,5532
314,3717
396,2832
600,7713
472,5633
70,2417
599,7697
277,4765
9,1321
359,2302
707,5047
192,4342
629,7415
559,5870
684,2425
