,count
97,1471
503,7639
642,7328
498,6118
303,3669
570,7592
250,1842
17,683
595,7865
240,4634
547,5531
325,1607
285,2913
672,5138
652,6639
701,4649
493,5728
45,1815
548,6227
62,1944
530,7363
313,2933
588,6299
140,5805
294,4308
520,6998
127,4333
204,3606
352,3403
358,754
144,4978
310,4035
21,981
650,7282
424,1834
35,1005
452,5698
337,3485
509,6770
77,3117
451,5102
231,5191
331,3867
109,3944
412,4154
101,2034
489,6296
641,7572
230,4153
708,3228
278,4765
468,6398
317,4486
344,2743
720,3623
258,4760
505,7129
165,5180
188,4040
316,3717
34,1708
532,7702
593,7605
727,3095
334,3727
439,6192
645,3510
155,4906
391,3456
571,8173
306,3974
200,4332
235,5130
524,7736
12,1406
161,4966
556,6290
502,7384
473,4367
722,1787
501,7424
159,3915
363,2999
409,3922
229,3805
78,2471
92,3249
690,5146
66,2133
693,2277
500,5115
435,4911
302,3331
668,1096
403,2802
395,4509
564,5713
649,7570
15,1204
401,3784
245,4484
497,7429
6,1510
362,2423
71,2417
434,4118
436,5298
374,3598
492,6273
104,3126
683,5495
516,7338
402,4375
90,2227
416,3777
375,2177
312,4109
218,3785
691,2425
283,4563
205,3840
364,2485
190,4881
460,6457
355,3068
194,5084
592,7347
132,4105
233,4758
173,4790
178,4648
706,5008
608,7350
206,4590
96,3141
627,7591
315,4067
622,8009
89,1685
380,2298
179,5225
0,985
46,2115
171,4835
583,7013
350,2739
107,3429
133,3409
418,5062
223,4905
549,6660
102,2162
108,3204
213,4845
481,5026
408,3422
246,4940
605,7040
542,7442
125,4608
422,4322
526,6598
385,1301
591,6784
224,4150
26,431
538,5823
514,5743
327,1495
3,1562
134,4553
338,3811
186,4629
458,6772
295,4381
665,7852
400,2947
577,7216
657,5424
225,3820
598,7006
666,4459
491,6359
490,6883
697,5260
463,5169
478,3214
367,2236
713,5611
112,4036
427,4066
643,8156
20,1543
65,1872
298,3894
126,4714
259,4511
695,5087
635,7393
339,2594
612,6864
137,3855
466,4862
7,959
342,3620
670,5986
309,3649
506,4359
185,4665
353,3750
428,3423
153,5312
54,1807
30,1501
397,3761
651,7109
100,3348
484,6304
601,7582
692,3910
237,4661
